,id_pais,nombre,continente,enlace_bandera_pais,enlace_pais
0,77,Japón,Asia/Oceanía,https://tmssl.akamaized.net/images/flagge/tiny/77.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/77
1,12,Australia,Asia/Oceanía,https://tmssl.akamaized.net/images/flagge/tiny/12.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/12
2,146,Arabia Saudita,Asia/Oceanía,https://tmssl.akamaized.net/images/flagge/tiny/146.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/146
3,120,Nueva Zelanda,Asia/Oceanía,https://tmssl.akamaized.net/images/flagge/tiny/120.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/120
4,87,Corea del Sur,Asia/Oceanía,https://tmssl.akamaized.net/images/flagge/tiny/87.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/87
5,153,Singapur,Asia/Oceanía,https://tmssl.akamaized.net/images/flagge/tiny/153.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/153
6,218,Hong Kong,Asia/Oceanía,https://tmssl.akamaized.net/images/flagge/tiny/218.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/218
7,34,China,Asia/Oceanía,https://tmssl.akamaized.net/images/flagge/tiny/34.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/34
8,137,Qatar,Asia/Oceanía,https://tmssl.akamaized.net/images/flagge/tiny/137.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/137
9,71,Irán,Asia/Oceanía,https://tmssl.akamaized.net/images/flagge/tiny/71.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/71
10,94,Líbano,Asia/Oceanía,https://tmssl.akamaized.net/images/flagge/tiny/94.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/94
11,134,Filipinas,Asia/Oceanía,https://tmssl.akamaized.net/images/flagge/tiny/134.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/134
12,67,India,Asia/Oceanía,https://tmssl.akamaized.net/images/flagge/tiny/67.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/67
13,167,Tailandia,Asia/Oceanía,https://tmssl.akamaized.net/images/flagge/tiny/167.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/167
14,183,Selección de Fútbol de los Emiratos Árabes Unidos,Asia/Oceanía,https://tmssl.akamaized.net/images/flagge/tiny/183.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/183
15,68,Indonesia,Asia/Oceanía,https://tmssl.akamaized.net/images/flagge/tiny/68.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/68
16,180,Uzbekistán,Asia/Oceanía,https://tmssl.akamaized.net/images/flagge/tiny/180.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/180
17,116,Myanmar,Asia/Oceanía,https://tmssl.akamaized.net/images/flagge/tiny/116.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/116
18,48,Fiji,Asia/Oceanía,https://tmssl.akamaized.net/images/flagge/tiny/48.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/48
19,103,Malasia,Asia/Oceanía,https://tmssl.akamaized.net/images/flagge/tiny/103.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/103
20,185,Vietnam,Asia/Oceanía,https://tmssl.akamaized.net/images/flagge/tiny/185.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/185
21,91,Laos,Asia/Oceanía,https://tmssl.akamaized.net/images/flagge/tiny/91.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/91
22,90,Kirgistan,Asia/Oceanía,https://tmssl.akamaized.net/images/flagge/tiny/90.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/90
23,164,Taiwan,Asia/Oceanía,https://tmssl.akamaized.net/images/flagge/tiny/164.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/164
24,16,Bangladesch,Asia/Oceanía,https://tmssl.akamaized.net/images/flagge/tiny/16.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/16
25,165,Tadschikistan,Asia/Oceanía,https://tmssl.akamaized.net/images/flagge/tiny/165.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/165
26,119,Nepal,Asia/Oceanía,https://tmssl.akamaized.net/images/flagge/tiny/119.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/119
27,159,Sudáfrica,África,https://tmssl.akamaized.net/images/flagge/tiny/159.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/159
28,173,Túnez,África,https://tmssl.akamaized.net/images/flagge/tiny/173.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/173
29,2,Egipto,África,https://tmssl.akamaized.net/images/flagge/tiny/2.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/2
30,107,Marruecos,África,https://tmssl.akamaized.net/images/flagge/tiny/107.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/107
31,4,Argelia,África,https://tmssl.akamaized.net/images/flagge/tiny/4.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/4
32,54,Ghana,África,https://tmssl.akamaized.net/images/flagge/tiny/54.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/54
33,124,Nigeria,África,https://tmssl.akamaized.net/images/flagge/tiny/124.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/124
34,115,Mosambik,África,https://tmssl.akamaized.net/images/flagge/tiny/115.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/115
35,6,Angola,África,https://tmssl.akamaized.net/images/flagge/tiny/6.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/6
36,9,Argentina,América,https://tmssl.akamaized.net/images/flagge/tiny/9.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/9
37,26,Brasil,América,https://tmssl.akamaized.net/images/flagge/tiny/26.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/26
38,133,Perú,América,https://tmssl.akamaized.net/images/flagge/tiny/133.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/133
39,110,México,América,https://tmssl.akamaized.net/images/flagge/tiny/110.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/110
40,184,E.E.U.U.,América,https://tmssl.akamaized.net/images/flagge/tiny/184.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/184
41,80,Canadá,América,https://tmssl.akamaized.net/images/flagge/tiny/80.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/80
42,33,Chile,América,https://tmssl.akamaized.net/images/flagge/tiny/33.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/33
43,83,Colombia,América,https://tmssl.akamaized.net/images/flagge/tiny/83.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/83
44,182,Venezuela,América,https://tmssl.akamaized.net/images/flagge/tiny/182.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/182
45,179,Uruguay,América,https://tmssl.akamaized.net/images/flagge/tiny/179.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/179
46,44,Ecuador,América,https://tmssl.akamaized.net/images/flagge/tiny/44.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/44
47,36,Costa Rica,América,https://tmssl.akamaized.net/images/flagge/tiny/36.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/36
48,23,Bolivien,América,https://tmssl.akamaized.net/images/flagge/tiny/23.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/23
49,132,Paraguay,América,https://tmssl.akamaized.net/images/flagge/tiny/132.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/132
50,58,Guatemala,América,https://tmssl.akamaized.net/images/flagge/tiny/58.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/58
51,130,Panama,América,https://tmssl.akamaized.net/images/flagge/tiny/130.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/130
52,76,Jamaika,América,https://tmssl.akamaized.net/images/flagge/tiny/76.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/76
53,45,El Salvador,América,https://tmssl.akamaized.net/images/flagge/tiny/45.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/45
54,66,Honduras,América,https://tmssl.akamaized.net/images/flagge/tiny/66.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/66
55,24,Bosnia y Herzegovina,Europa,https://tmssl.akamaized.net/images/flagge/tiny/24.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/24
56,37,Croacia,Europa,https://tmssl.akamaized.net/images/flagge/tiny/37.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/37
57,215,Serbia,Europa,https://tmssl.akamaized.net/images/flagge/tiny/215.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/215
58,155,Eslovenia,Europa,https://tmssl.akamaized.net/images/flagge/tiny/155.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/155
59,178,Hungría,Europa,https://tmssl.akamaized.net/images/flagge/tiny/178.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/178
60,19,Bélgica,Europa,https://tmssl.akamaized.net/images/flagge/tiny/19.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/19
61,99,Luxemburgo,Europa,https://tmssl.akamaized.net/images/flagge/tiny/99.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/99
62,148,Suiza,Europa,https://tmssl.akamaized.net/images/flagge/tiny/148.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/148
63,127,Austria,Europa,https://tmssl.akamaized.net/images/flagge/tiny/127.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/127
64,172,República Checa,Europa,https://tmssl.akamaized.net/images/flagge/tiny/172.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/172
65,135,Polonia,Europa,https://tmssl.akamaized.net/images/flagge/tiny/135.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/135
66,50,Francia,Europa,https://tmssl.akamaized.net/images/flagge/tiny/50.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/50
67,122,Holanda,Europa,https://tmssl.akamaized.net/images/flagge/tiny/122.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/122
68,140,Rumanía,Europa,https://tmssl.akamaized.net/images/flagge/tiny/140.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/140
69,40,Alemania,Europa,https://tmssl.akamaized.net/images/flagge/tiny/40.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/40
70,136,Portugal,Europa,https://tmssl.akamaized.net/images/flagge/tiny/136.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/136
71,157,España,Europa,https://tmssl.akamaized.net/images/flagge/tiny/157.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/157
72,75,Italia,Europa,https://tmssl.akamaized.net/images/flagge/tiny/75.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/75
73,56,Grecia,Europa,https://tmssl.akamaized.net/images/flagge/tiny/56.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/56
74,74,Israel,Europa,https://tmssl.akamaized.net/images/flagge/tiny/74.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/74
75,28,Bulgaria,Europa,https://tmssl.akamaized.net/images/flagge/tiny/28.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/28
76,177,Ucrania,Europa,https://tmssl.akamaized.net/images/flagge/tiny/177.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/177
77,174,Turquía,Europa,https://tmssl.akamaized.net/images/flagge/tiny/174.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/174
78,141,Rusia,Europa,https://tmssl.akamaized.net/images/flagge/tiny/141.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/141
79,39,Dinamarca,Europa,https://tmssl.akamaized.net/images/flagge/tiny/39.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/39
80,147,Suecia,Europa,https://tmssl.akamaized.net/images/flagge/tiny/147.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/147
81,192,Irlanda del Norte,Europa,https://tmssl.akamaized.net/images/flagge/tiny/192.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/192
82,72,Irlanda,Europa,https://tmssl.akamaized.net/images/flagge/tiny/72.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/72
83,189,Inglaterra,Europa,https://tmssl.akamaized.net/images/flagge/tiny/189.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/189
84,190,Escocia,Europa,https://tmssl.akamaized.net/images/flagge/tiny/190.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/190
85,73,Islandia,Europa,https://tmssl.akamaized.net/images/flagge/tiny/73.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/73
86,49,Finlandia,Europa,https://tmssl.akamaized.net/images/flagge/tiny/49.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/49
87,125,Noruega,Europa,https://tmssl.akamaized.net/images/flagge/tiny/125.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/125
88,3,Albania,Europa,https://tmssl.akamaized.net/images/flagge/tiny/3.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/3
89,188,Chipre,Europa,https://tmssl.akamaized.net/images/flagge/tiny/188.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/188
90,47,Estonia,Europa,https://tmssl.akamaized.net/images/flagge/tiny/47.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/47
91,18,Bielorrusia,Europa,https://tmssl.akamaized.net/images/flagge/tiny/18.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/18
92,154,Eslovaquia,Europa,https://tmssl.akamaized.net/images/flagge/tiny/154.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/154
93,92,Letonia,Europa,https://tmssl.akamaized.net/images/flagge/tiny/92.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/92
94,98,Lituania,Europa,https://tmssl.akamaized.net/images/flagge/tiny/98.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/98
95,191,Gales,Europa,https://tmssl.akamaized.net/images/flagge/tiny/191.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/191
96,53,Georgia,Europa,https://tmssl.akamaized.net/images/flagge/tiny/53.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/53
97,208,Islas feroe,Europa,https://tmssl.akamaized.net/images/flagge/tiny/208.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/208
98,106,Malta,Europa,https://tmssl.akamaized.net/images/flagge/tiny/106.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/106
99,10,Armenia,Europa,https://tmssl.akamaized.net/images/flagge/tiny/10.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/10
100,13,Azerbaiyán,Europa,https://tmssl.akamaized.net/images/flagge/tiny/13.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/13
101,112,Moldova,Europa,https://tmssl.akamaized.net/images/flagge/tiny/112.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/112
102,81,Kazajistán,Europa,https://tmssl.akamaized.net/images/flagge/tiny/81.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/81
103,100,Macedonia,Europa,https://tmssl.akamaized.net/images/flagge/tiny/100.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/100
104,244,Kosovo,Europa,https://tmssl.akamaized.net/images/flagge/tiny/244.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/244
105,MNE1,Montenegro,Europa,https://tmssl.akamaized.net/images/flagge/tiny/MNE1.png?lm=1520611569,/prva-crnogorska-liga/startseite/wettbewerb/MNE1
106,266,Gibraltar,Europa,https://tmssl.akamaized.net/images/flagge/tiny/266.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/266
107,97,Liechtenstein,Europa,https://tmssl.akamaized.net/images/flagge/tiny/97.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/97
108,144,San Marino,Europa,https://tmssl.akamaized.net/images/flagge/tiny/144.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/144
109,5,Andorra,Europa,https://tmssl.akamaized.net/images/flagge/tiny/5.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/5
